code,organisation_long,disciplines
1937701,Germany,BK3
1937758,Switzerland,BK3
1937785,"Hong Kong, China",BK3
1937815,Switzerland,BK3
1937848,Poland,BK3
1937858,France,BK3
1937879,Romania,BK3
1937884,Serbia,BK3
1937903,People's Republic of China,BK3
1937919,Republic of Korea,BK3
1937973,Hungary,BK3
1937982,Botswana,BK3
1938013,United States of America,BK3
1938090,Estonia,BK3
1938099,Romania,BK3
1938104,Serbia,BK3
1995222,France,BK3
1995226,France,BK3
1995228,France,BK3
1995229,France,BK3
1995231,France,BK3
1995232,France,BK3
1995233,France,BK3
1995236,France,BK3
1995237,France,BK3
1995239,France,BK3
1995240,France,BK3
1995244,France,BK3
3060392,Slovenia,BK3
3060402,Slovenia,BK3
3060403,Japan,BK3
3060404,Japan,BK3
3060405,Japan,BK3
3060406,Hungary,BK3
3060407,Slovenia,BK3
3060408,Slovenia,BK3
3060409,Slovenia,BK3
3060410,Hungary,BK3
3060411,Slovenia,BK3
3060412,Hungary,BK3
1550642,International Gymnastics Federation,GAR
1550643,International Gymnastics Federation,GAR
1550645,International Gymnastics Federation,GAR
1550646,International Gymnastics Federation,GAR
1550647,International Gymnastics Federation,GAR
1550648,International Gymnastics Federation,GAR
1550649,International Gymnastics Federation,GAR
1550650,International Gymnastics Federation,GAR
1550651,International Gymnastics Federation,GAR
1550652,International Gymnastics Federation,GAR
1550653,International Gymnastics Federation,GAR
1550654,International Gymnastics Federation,GAR
1550655,International Gymnastics Federation,GAR
1550656,International Gymnastics Federation,GAR
1550657,International Gymnastics Federation,GAR
1571122,International Gymnastics Federation,GAR
1571123,International Gymnastics Federation,GAR
1571124,International Gymnastics Federation,GAR
1990795,International Gymnastics Federation,GAR
1990866,International Gymnastics Federation,GAR
1990867,International Gymnastics Federation,GAR
1990868,International Gymnastics Federation,GAR
1990869,International Gymnastics Federation,GAR
1990870,International Gymnastics Federation,GAR
2490861,France,GAR
2490864,International Gymnastics Federation,GAR
2490876,International Gymnastics Federation,GAR
2490881,France,GAR
2490887,International Gymnastics Federation,GAR
2973407,International Gymnastics Federation,GAR
2973413,International Gymnastics Federation,GAR
4968543,International Gymnastics Federation,GAR
2280241,World Aquatics,SWM
2280242,World Aquatics,SWM
2280243,World Aquatics,SWM
2280244,World Aquatics,SWM
2280245,World Aquatics,SWM
2280246,World Aquatics,SWM
2280247,World Aquatics,SWM
2280248,World Aquatics,SWM
2280249,World Aquatics,SWM
2280250,World Aquatics,SWM
2280251,World Aquatics,SWM
2280252,World Aquatics,SWM
2280253,World Aquatics,SWM
2280254,World Aquatics,SWM
2280255,World Aquatics,SWM
2280256,World Aquatics,SWM
2280354,World Aquatics,SWM
2280355,World Aquatics,SWM
2280356,World Aquatics,SWM
2280357,World Aquatics,SWM
2280358,World Aquatics,SWM
2280359,World Aquatics,SWM
2280360,World Aquatics,SWM
2280361,World Aquatics,SWM
2280362,World Aquatics,SWM
2280363,World Aquatics,SWM
2280364,World Aquatics,SWM
2280365,World Aquatics,SWM
2280366,World Aquatics,SWM
2280367,World Aquatics,SWM
2280368,World Aquatics,SWM
2280369,World Aquatics,SWM
2281520,World Aquatics,SWM
2483779,World Aquatics,SWM
2796266,World Aquatics,SWM
2796280,World Aquatics,SWM
2796300,World Aquatics,SWM
2796302,World Aquatics,SWM
2796330,World Aquatics,SWM
1893012,International Basketball Federation,BKB
1893016,International Basketball Federation,BKB
1893040,International Basketball Federation,BKB
1893057,International Basketball Federation,BKB
1893105,International Basketball Federation,BKB
1893111,International Basketball Federation,BKB
1898273,International Basketball Federation,BKB
1898633,International Basketball Federation,BKB
1898640,International Basketball Federation,BKB
1898648,International Basketball Federation,BKB
1898669,International Basketball Federation,BKB
1898675,International Basketball Federation,BKB
1898693,International Basketball Federation,BKB
1898701,International Basketball Federation,BKB
1898712,International Basketball Federation,BKB
1898728,International Basketball Federation,BKB
1898782,International Basketball Federation,BKB
1898799,International Basketball Federation,BKB
1898911,International Basketball Federation,BKB
1922183,International Basketball Federation,BKB
1922369,International Basketball Federation,BKB
1922396,International Basketball Federation,BKB
1922432,International Basketball Federation,BKB
1922550,International Basketball Federation,BKB
1922569,International Basketball Federation,BKB
1922591,International Basketball Federation,BKB
1922614,International Basketball Federation,BKB
1922689,International Basketball Federation,BKB
1928960,International Basketball Federation,BKB
1929700,International Basketball Federation,BKB
1929719,International Basketball Federation,BKB
1929775,International Basketball Federation,BKB
1948172,International Basketball Federation,BKB
1948315,International Basketball Federation,BKB
1948497,International Basketball Federation,BKB
1948922,International Basketball Federation,BKB
1949000,International Basketball Federation,BKB
1959180,International Basketball Federation,BKB
1963610,International Basketball Federation,BKB
1963689,International Basketball Federation,BKB
1963755,International Basketball Federation,BKB
1963769,International Basketball Federation,BKB
1963784,International Basketball Federation,BKB
1963816,International Basketball Federation,BKB
1963832,International Basketball Federation,BKB
1963904,International Basketball Federation,BKB
1963920,International Basketball Federation,BKB
1978063,International Basketball Federation,BKB
1978746,International Basketball Federation,BKB
2292964,International Basketball Federation,BKB
2491271,International Basketball Federation,BKB
2491272,International Basketball Federation,BKB
2491273,International Basketball Federation,BKB
2491274,International Basketball Federation,BKB
2491275,International Basketball Federation,BKB
2491276,International Basketball Federation,BKB
2491277,International Basketball Federation,BKB
2491278,International Basketball Federation,BKB
2491279,International Basketball Federation,BKB
2491280,International Basketball Federation,BKB
2491281,International Basketball Federation,BKB
2491282,International Basketball Federation,BKB
2491283,International Basketball Federation,BKB
2491284,International Basketball Federation,BKB
2491285,International Basketball Federation,BKB
2491286,International Basketball Federation,BKB
2491287,International Basketball Federation,BKB
