code,name,gender,function,organisation_long
1937701,MESSER KERSTING Thomas,Male,Referee,Germany
1937758,BERTRAND Eric,Male,Referee,Switzerland
1937785,HO Edmond,Male,Referee,"Hong Kong, China"
1937815,MICHAELIDES Markos-Elias,Male,Referee,Switzerland
1937848,MALISZEWSKI Marek,Male,Referee,Poland
1937858,CHAJIDDINE Najib,Male,Referee,France
1937879,GHIZDAREANU Vlad,Male,Referee,Romania
1937884,JURAS Jasmina,Female,Referee,Serbia
1937903,SHI Qirong,Female,Referee,People's Republic of China
1937919,KIM Gain,Female,Referee,Republic of Korea
1937973,CSABAI-KASKOTO Brigitta,Female,Referee,Hungary
1937982,OKATCH Dorothy,Female,Referee,Botswana
1938013,JACKSON Deanna,Female,Referee,United States of America
1938090,TALISAINEN Alex,Male,Referee,Estonia
1938099,CSENDER Andrada Monika,Female,Referee,Romania
1938104,VESKOVIC Vladimir,Male,Referee,Serbia
1995222,MEARY Aurelia,Female,Referee,France
1995226,BOIRE Elise,Female,Referee,France
1995228,BOUTONNET Gregoire,Male,Referee,France
1995229,PREL Nicolas,Male,Referee,France
1995231,TAEYE Corinne,Female,Referee,France
1995232,FAYS Francois,Male,Referee,France
1995233,FOREST Alexis,Male,Referee,France
1995236,MECHIN Celine,Female,Referee,France
1995237,SEVAUX Arnaud,Male,Referee,France
1995239,CORTINOVIS BEGLOT Chloe,Female,Referee,France
1995240,HENON Sandrine,Female,Referee,France
1995244,FRANCOIS Cedric,Male,Referee,France
3060392,BAS Andrej,Male,Referee,Slovenia
3060402,TRONTELJ Gorazd,Male,Referee,Slovenia
3060403,SHIMOYAMA Waka,Female,Referee,Japan
3060404,YAGI Aki,Female,Referee,Japan
3060405,MATSUMOTO Tsunemi,Female,Referee,Japan
3060406,HEGEDUSNE STION Eva,Female,Referee,Hungary
3060407,BOZJAK Ziga,Male,Referee,Slovenia
3060408,SANKOVIC Andraz,Male,Referee,Slovenia
3060409,GOGALA Eva,Female,Referee,Slovenia
3060410,FULOP Adam,Male,Referee,Hungary
3060411,JUG Ana,Female,Referee,Slovenia
3060412,KECSKEMETI Elizabeth,Female,Referee,Hungary
1550642,FUMEA Maria,Female,Judge,International Gymnastics Federation
1550643,LEUNG Li Li,Female,Judge,International Gymnastics Federation
1550645,MIAO Zhongyi,Male,Judge,International Gymnastics Federation
1550646,VALENZO AOKI Naomi Chieko,Female,Judge,International Gymnastics Federation
1550647,AL HITMI Ali,Male,Judge,International Gymnastics Federation
1550648,AL TABBAA Mouhammed Youssef,Male,Judge,International Gymnastics Federation
1550649,CELEN Suat,Male,Judge,International Gymnastics Federation
1550650,ESAWY Ehab,Male,Judge,International Gymnastics Federation
1550651,YAGI KITAGAWA Tammy,Female,Judge,International Gymnastics Federation
1550652,VALERIO Rogerio,Male,Judge,International Gymnastics Federation
1550653,MOWBRAY Denis,Male,Judge,International Gymnastics Federation
1550654,PEGAN Aljaz,Male,Judge,International Gymnastics Federation
1550655,PENICHE FRANCO Alejandro,Male,Judge,International Gymnastics Federation
1550656,PERRIERE Charles,Male,Judge,International Gymnastics Federation
1550657,TAEYMANS Rosy,Female,Judge,International Gymnastics Federation
1571122,ALSHATHRI A Rahman,Male,Judge,International Gymnastics Federation
1571123,KIM Nellia,Female,Judge,International Gymnastics Federation
1571124,TITOV Vasilii,Male,Judge,International Gymnastics Federation
1990795,MUKAI Naoko,Female,Judge,International Gymnastics Federation
1990866,CACHEMAILLE Celine,Female,Judge,International Gymnastics Federation
1990867,DETRAZ Stephane,Male,Judge,International Gymnastics Federation
1990868,MARTINET Sylvie,Female,Judge,International Gymnastics Federation
1990869,VINAGRE Rui,Male,Judge,International Gymnastics Federation
1990870,TERRIER Zina,Female,Judge,International Gymnastics Federation
2490861,DESPORTE Laurent,Male,Judge,France
2490864,de CARVALHO Sarah,Female,Judge,International Gymnastics Federation
2490876,BUYS Mickael,Male,Judge,International Gymnastics Federation
2490881,GAGNIERE Thomas,Male,Judge,France
2490887,MEREL Erwan,Male,Judge,International Gymnastics Federation
