code,name,gender,disciplines,birth_date,occupation,country_code
1532872,ALEKSANYAN Artur,Male,Wrestling,21/10/1991, ,ARM
1532873,AMOYAN Malkhas,Male,Wrestling,22/1/1999,,ARM
1532874,GALSTYAN Slavik,Male,Wrestling,21/12/1996,,ARM
1532944,HARUTYUNYAN Arsen,Male,Wrestling,22/11/1999, ,ARM
1532945,TEVANYAN Vazgen,Male,Wrestling,27/10/1999, ,ARM
1532951,ARENAS Lorena,Female,Athletics,17/9/1993, ,COL
1533112,McKENZIE Ashley,Male,Judo,17/7/1989, ,JAM
1533136,BASS BITTAYE Gina Mariam,Female,Athletics,3/5/1995,police officer (sub-inspector),GAM
1533176,CAMARA Ebrahima,Male,Athletics,18/9/1996,prison officer,GAM
1533188,RUEDA SANTOS Lizeth,Female,Triathlon,7/3/1994, ,MEX
1533189,TAPIA VIDAL Rosa Maria,Female,Triathlon,27/8/1997, ,MEX
1533190,GRAJALES Crisanto,Male,Triathlon,6/5/1987, ,MEX
1533208,MAAROUFOU Hachim,Male,Athletics,13/2/1997, ,COM
1533209,SAADI Maesha,Female,Swimming,16/1/2007,student,COM
1533230,DIOSDADO Nuria,Female,Artistic Swimming,22/8/1990,sport soldier,MEX
1533231,JIMENEZ Joana,Female,Artistic Swimming,19/8/1993,  sport soldier,MEX
1533232,SOBRINO Jessica,Female,Artistic Swimming,26/5/1994, ,MEX
1533234,ALFEREZ Regina,Female,Artistic Swimming,1/12/1997, ,MEX
1533235,ARELLANO Fernanda,Female,Artistic Swimming,28/2/2002,student,MEX
1533237,TOSCANO Pamela,Female,Artistic Swimming,13/1/2000,sport soldier,MEX
1533239,GONZALEZ Itzamary,Female,Artistic Swimming,14/11/2003, ,MEX
1533240,RODRIGUEZ Samanta,Female,Artistic Swimming,5/12/1994, ,MEX
1533243,INZUNZA Glenda,Female,Artistic Swimming,12/3/2000,,MEX
1533245,SEHEN Sajjad,Male,Judo,8/3/1996,,IRQ
1533359,RUBAIAWI Ali Ammar Yusur,Male,Weightlifting,2/8/2004, ,IRQ
1533364,ISMAIL Mohamed,Male,Athletics,1/1/1997,sport soldier,DJI
1533371,HASSAN Ibrahim,Male,Athletics,1/1/1997,soldier with the Djiboutian Republican Guard,DJI
1533372,WAISS Abdi,Male,Athletics,3/7/1996,sport soldier,DJI
1533374,HASSAN NOUR Samiyah,Female,Athletics,5/12/1999,sport soldier,DJI
1533378,HOUSSEIN BARKAT Houmed,Male,Swimming,4/4/2004,,DJI
1535180,BARAT Andy,Male,Canoe Slalom,29/11/1997,,COM
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,Boxing,17/3/2001,,MEX
1535187,VERDE ALVAREZ Marco Alonso,Male,Boxing,11/2/2002,,MEX
1535191,GONZALEZ Alegna,Female,Athletics,2/1/1999,serves in the navy,MEX
1535195,LOPEZ Jesus Tonatiu,Male,Athletics,2/8/1997, ,MEX
1535199,PORTILLO Erick,Male,Athletics,5/10/2000, ,MEX
1535201,MUNOZ Uziel,Male,Athletics,8/9/1995, ,MEX
1535202,del REAL Diego,Male,Athletics,6/3/1994, ,MEX
1535203,DOCTOR Jose Luis,Male,Athletics,14/6/1996, ,MEX
1535212,MORAN Paola,Female,Athletics,25/2/1997, ,MEX
1535214,GALVAN Laura,Female,Athletics,5/10/1991, ,MEX
1535216,CORTES Alma Delia,Female,Athletics,26/12/1997, ,MEX
1535217,CRISTIAN MOSCOTE Citlali,Female,Athletics,15/4/1995, ,MEX
1535222,PALMA OLIVARES Ever Jair,Male,Athletics,18/3/1992,entrepreneur,MEX
1535225,OETLING RAMIREZ Elena,Female,Sailing,18/4/1993,business owner,MEX
1535226,AGUILAR CHAVEZ PEON Mariana,Female,Sailing,12/3/1999,student,MEX
1535252,LECHUGA ALANIS Kenia,Female,Rowing,26/6/1994,Armed Forces  ,MEX
1535260,LOPEZ GARCIA Alexis,Male,Rowing,1/5/1997, ,MEX
1535267,CARBALLO NIETO Miguel,Male,Rowing,8/7/1992, ,MEX
1535310,BLANCO Luisa,Female,Artistic Gymnastics,18/11/2001,student,COL
1535343,WILLARS VALDEZ Randal,Male,Diving,30/4/2002,Armed forces  ,MEX
1535345,BERLIN REYES Kevin,Male,Diving,25/4/2001, ,MEX
1535346,OROZCO LOZA Alejandra,Female,Diving,19/4/1997,Armed forces  ,MEX
1535348,AGUNDEZ GARCIA Gabriela,Female,Diving,4/8/2000,Armed forces  ,MEX
1535349,OLVERA IBARRA Osmar,Male,Diving,5/6/2004,,MEX
1535350,GARZA PEREZ Eugenio,Male,Equestrian,23/7/1996, ,MEX
1535351,FERNANDEZ Federico,Male,Equestrian,28/3/1968,,MEX
1535354,de LARA OJEDA Miguel Alejandro,Male,Swimming,9/8/1994,,MEX
1535356,MORENO Alexa,Female,Artistic Gymnastics,8/8/1994, ,MEX
1535357,SANDOVAL Ahtziri,Female,Artistic Gymnastics,5/10/1996, ,MEX
1535358,FLORES Sofia,Female,Rhythmic Gymnastics,20/12/2004, ,MEX
1535359,SALAZAR Kimberly,Female,Rhythmic Gymnastics,24/4/2004, ,MEX
1535360,TEJEDA Adirem,Female,Rhythmic Gymnastics,21/6/2002, ,MEX
1535361,ALCOCER Dalia,Female,Rhythmic Gymnastics,2/1/2004, ,MEX
1535362,GUTIERREZ Julia,Female,Rhythmic Gymnastics,13/9/2007, ,MEX
