code,SpCode,Start,End
1535420,ATH,1/8/2024,11/8/2024
1535429,ATH,1/8/2024,11/8/2024
1535430,ATH,1/8/2024,11/8/2024
1536460,ATH,1/8/2024,11/8/2024
1536467,ATH,1/8/2024,11/8/2024
1536479,ATH,1/8/2024,11/8/2024
1536632,ATH,1/8/2024,11/8/2024
1537163,ATH,1/8/2024,11/8/2024
1538449,ATH,1/8/2024,11/8/2024
1535310,ATH,1/8/2024,11/8/2024
1535356,ATH,1/8/2024,11/8/2024
1535357,ATH,1/8/2024,11/8/2024
1538648,ATH,1/8/2024,11/8/2024
1539986,ATH,1/8/2024,11/8/2024
1533230,ATH,1/8/2024,11/8/2024
1533231,ATH,1/8/2024,11/8/2024
1533232,ATH,1/8/2024,11/8/2024
1533234,ATH,1/8/2024,11/8/2024
1533235,ATH,1/8/2024,11/8/2024
1533237,ATH,1/8/2024,11/8/2024
1533239,ATH,1/8/2024,11/8/2024
1533240,ATH,1/8/2024,11/8/2024
1533243,ATH,1/8/2024,11/8/2024
1532951,ATH,1/8/2024,11/8/2024
1533136,ATH,1/8/2024,11/8/2024
1533176,ATH,1/8/2024,11/8/2024
1533208,ATH,1/8/2024,11/8/2024
1533364,ATH,1/8/2024,11/8/2024
1533371,ATH,1/8/2024,11/8/2024
1533372,ATH,1/8/2024,11/8/2024
1533374,ATH,1/8/2024,11/8/2024
1535191,ATH,1/8/2024,11/8/2024
1535195,ATH,1/8/2024,11/8/2024
1535199,ATH,1/8/2024,11/8/2024
1535201,ATH,1/8/2024,11/8/2024
1535202,ATH,1/8/2024,11/8/2024
1535203,ATH,1/8/2024,11/8/2024
1535212,ATH,1/8/2024,11/8/2024
1535214,ATH,1/8/2024,11/8/2024
1535216,ATH,1/8/2024,11/8/2024
1535217,ATH,1/8/2024,11/8/2024
1535222,ATH,1/8/2024,11/8/2024
1535505,ATH,1/8/2024,11/8/2024
1535506,ATH,1/8/2024,11/8/2024
1535511,ATH,1/8/2024,11/8/2024
1535512,ATH,1/8/2024,11/8/2024
1535660,ATH,1/8/2024,11/8/2024
1535858,ATH,1/8/2024,11/8/2024
1536032,ATH,1/8/2024,11/8/2024
1536233,ATH,1/8/2024,11/8/2024
1536372,ATH,1/8/2024,11/8/2024
1536494,ATH,1/8/2024,11/8/2024
1536495,ATH,1/8/2024,11/8/2024
1536496,ATH,1/8/2024,11/8/2024
1536497,ATH,1/8/2024,11/8/2024
1536498,ATH,1/8/2024,11/8/2024
1536568,ATH,1/8/2024,11/8/2024
1536585,ATH,1/8/2024,11/8/2024
1536599,ATH,1/8/2024,11/8/2024
1536600,ATH,1/8/2024,11/8/2024
1536683,ATH,1/8/2024,11/8/2024
1536701,ATH,1/8/2024,11/8/2024
1536885,ATH,1/8/2024,11/8/2024
1536925,ATH,1/8/2024,11/8/2024
1536983,ATH,1/8/2024,11/8/2024
1536990,ATH,1/8/2024,11/8/2024
1536992,ATH,1/8/2024,11/8/2024
1536998,ATH,1/8/2024,11/8/2024
1536999,ATH,1/8/2024,11/8/2024
1537001,ATH,1/8/2024,11/8/2024
1537010,ATH,1/8/2024,11/8/2024
1537049,ATH,1/8/2024,11/8/2024
1537052,ATH,1/8/2024,11/8/2024
1537053,ATH,1/8/2024,11/8/2024
1537057,ATH,1/8/2024,11/8/2024
1537066,ATH,1/8/2024,11/8/2024
1537069,ATH,1/8/2024,11/8/2024
1537079,ATH,1/8/2024,11/8/2024
1537144,ATH,1/8/2024,11/8/2024
1537145,ATH,1/8/2024,11/8/2024
1537149,ATH,1/8/2024,11/8/2024
1537150,ATH,1/8/2024,11/8/2024
1537168,ATH,1/8/2024,11/8/2024
1537183,ATH,1/8/2024,11/8/2024
1537203,ATH,1/8/2024,11/8/2024
1537325,ATH,1/8/2024,11/8/2024
1537331,ATH,1/8/2024,11/8/2024
1537345,ATH,1/8/2024,11/8/2024
1537368,ATH,1/8/2024,11/8/2024
1537510,ATH,1/8/2024,11/8/2024
1537518,ATH,1/8/2024,11/8/2024
1537531,ATH,1/8/2024,11/8/2024
1537538,ATH,1/8/2024,11/8/2024
1537547,ATH,1/8/2024,11/8/2024
1537549,ATH,1/8/2024,11/8/2024
1538504,ATH,1/8/2024,11/8/2024
1538505,ATH,1/8/2024,11/8/2024
1538830,ATH,1/8/2024,11/8/2024
1538893,ATH,1/8/2024,11/8/2024
1538903,ATH,1/8/2024,11/8/2024
1538904,ATH,1/8/2024,11/8/2024
1538934,ATH,1/8/2024,11/8/2024
1538935,ATH,1/8/2024,11/8/2024
1538937,ATH,1/8/2024,11/8/2024
1538939,ATH,1/8/2024,11/8/2024
1538999,ATH,1/8/2024,11/8/2024
1539000,ATH,1/8/2024,11/8/2024
1539008,ATH,1/8/2024,11/8/2024
1539131,ATH,1/8/2024,11/8/2024
1539303,ATH,1/8/2024,11/8/2024
1539314,ATH,1/8/2024,11/8/2024
1539328,ATH,1/8/2024,11/8/2024
1539340,ATH,1/8/2024,11/8/2024
1539342,ATH,1/8/2024,11/8/2024
1539497,ATH,1/8/2024,11/8/2024
1539505,ATH,1/8/2024,11/8/2024
1539510,ATH,1/8/2024,11/8/2024
1539540,ATH,1/8/2024,11/8/2024
1539547,ATH,1/8/2024,11/8/2024
1539548,ATH,1/8/2024,11/8/2024
1539961,ATH,1/8/2024,11/8/2024
1539962,ATH,1/8/2024,11/8/2024
1539963,ATH,1/8/2024,11/8/2024
1536648,BDM,27/7/2024,5/8/2024
1536649,BDM,27/7/2024,5/8/2024
1536650,BDM,27/7/2024,5/8/2024
1536651,BDM,27/7/2024,5/8/2024
1537276,BDM,27/7/2024,5/8/2024
1539114,BDM,27/7/2024,5/8/2024
1539123,BDM,27/7/2024,5/8/2024
1539125,BDM,27/7/2024,5/8/2024
1539157,BDM,27/7/2024,5/8/2024
1539183,BDM,27/7/2024,5/8/2024
1539188,BDM,27/7/2024,5/8/2024
1539849,BDM,27/7/2024,5/8/2024
1539948,BDM,27/7/2024,5/8/2024
1535186,BOX,27/7/2024,10/8/2024
1535187,BOX,27/7/2024,10/8/2024
1535514,BOX,27/7/2024,10/8/2024
1535522,BOX,27/7/2024,10/8/2024
1537189,BOX,27/7/2024,10/8/2024
1539954,BOX,27/7/2024,10/8/2024
1535180,CSL,27/7/2024,5/8/2024
1535444,CSL,27/7/2024,5/8/2024
1538482,CSL,27/7/2024,5/8/2024
1535448,CSP,6/8/2024,10/8/2024
1535449,CSP,6/8/2024,10/8/2024
1536996,CSP,6/8/2024,10/8/2024
1537312,CSP,6/8/2024,10/8/2024
1538662,CSP,6/8/2024,10/8/2024
1538800,CSP,6/8/2024,10/8/2024
1538875,BMX,30/7/2024,2/8/2024
1538878,BMX,30/7/2024,2/8/2024
1535395,CRD,27/7/2024,4/8/2024
1535433,CRD,27/7/2024,4/8/2024
1535925,CRD,27/7/2024,4/8/2024
1536669,CRD,27/7/2024,4/8/2024
1539971,CRD,27/7/2024,4/8/2024
1539983,CRD,27/7/2024,4/8/2024
1539974,CTR,5/8/2024,11/8/2024
1539976,CTR,5/8/2024,11/8/2024
1539977,CTR,5/8/2024,11/8/2024
1539978,CTR,5/8/2024,11/8/2024
1539982,CTR,5/8/2024,11/8/2024
1535343,EQU,27/7/2024,6/8/2024
1535345,EQU,27/7/2024,6/8/2024
1535346,EQU,27/7/2024,6/8/2024
1535348,EQU,27/7/2024,6/8/2024
1535349,EQU,27/7/2024,6/8/2024
1535914,EQU,27/7/2024,6/8/2024
1536196,EQU,27/7/2024,6/8/2024
1536197,EQU,27/7/2024,6/8/2024
1536198,EQU,27/7/2024,6/8/2024
1539959,EQU,27/7/2024,6/8/2024
1535350,EQU,27/7/2024,6/8/2024
1535351,EQU,27/7/2024,6/8/2024
1535693,EQU,27/7/2024,6/8/2024
1535993,EQU,27/7/2024,6/8/2024
1539180,EQU,27/7/2024,6/8/2024
1539886,FEN,27/7/2024,4/8/2024
1535766,FBL,24/7/2024,10/8/2024
1535776,FBL,24/7/2024,10/8/2024
1535804,FBL,24/7/2024,10/8/2024
1535805,FBL,24/7/2024,10/8/2024
1535910,FBL,24/7/2024,10/8/2024
1535913,FBL,24/7/2024,10/8/2024
1535916,FBL,24/7/2024,10/8/2024
1535927,FBL,24/7/2024,10/8/2024
1535928,FBL,24/7/2024,10/8/2024
1535929,FBL,24/7/2024,10/8/2024
1535930,FBL,24/7/2024,10/8/2024
1537323,FBL,24/7/2024,10/8/2024
1537336,FBL,24/7/2024,10/8/2024
1536341,HBL,25/7/2024,11/8/2024
1536368,HBL,25/7/2024,11/8/2024
1536371,HBL,25/7/2024,11/8/2024
1536522,HBL,25/7/2024,11/8/2024
1536523,HBL,25/7/2024,11/8/2024
1539985,HBL,25/7/2024,11/8/2024
1540039,HBL,25/7/2024,11/8/2024
1540108,HBL,25/7/2024,11/8/2024
1540112,HBL,25/7/2024,11/8/2024
1540120,HBL,25/7/2024,11/8/2024
1540143,HBL,25/7/2024,11/8/2024
1538244,HOC,27/7/2024,9/8/2024
1538253,HOC,27/7/2024,9/8/2024
1538260,HOC,27/7/2024,9/8/2024
1538261,HOC,27/7/2024,9/8/2024
1538262,HOC,27/7/2024,9/8/2024
1538263,HOC,27/7/2024,9/8/2024
1538266,HOC,27/7/2024,9/8/2024
