event,sport_code,medal_code,medal_type,name,medal_date
Men's Individual,ARC,1,Gold,KIM Woojin,2024-08-04
Men's Individual,ARC,2,Silver,Brady ELLISON,2024-08-04
Men's Individual,ARC,3,Bronze,LEE Wooseok,2024-08-04
Women's Individual,ARC,1,Gold,LIM Sihyeon,2024-08-03
Women's Individual,ARC,2,Silver,NAM Suhyeon,2024-08-03
Women's Individual,ARC,3,Bronze,Lisa BARBELIN,2024-08-03
Marathon Race Walk Relay Mixed,ATH,1,Gold,MARTIN A/PEREZ M,2024-08-07
Marathon Race Walk Relay Mixed,ATH,2,Silver,PINTADO B/MOREJON G,2024-08-07
Marathon Race Walk Relay Mixed,ATH,3,Bronze,COWLEY R/MONTAG J,2024-08-07
"Men's 10,000m",ATH,1,Gold,Joshua CHEPTEGEI,2024-08-02
"Men's 10,000m",ATH,2,Silver,Berihu AREGAWI,2024-08-02
"Men's 10,000m",ATH,3,Bronze,Grant FISHER,2024-08-02
Men's 100m,ATH,1,Gold,Noah LYLES,2024-08-04
Men's 100m,ATH,2,Silver,Kishane THOMPSON,2024-08-04
Men's 100m,ATH,3,Bronze,Fred KERLEY,2024-08-04
Men's 110m Hurdles,ATH,1,Gold,Grant HOLLOWAY,2024-08-08
Men's 110m Hurdles,ATH,2,Silver,Daniel ROBERTS,2024-08-08
Men's 110m Hurdles,ATH,3,Bronze,Rasheed BROADBELL,2024-08-08
Men's 1500m,ATH,1,Gold,Cole HOCKER,2024-08-06
Men's 1500m,ATH,2,Silver,Josh KERR,2024-08-06
Men's 1500m,ATH,3,Bronze,Yared NUGUSE,2024-08-06
Men's 200m,ATH,1,Gold,Letsile TEBOGO,2024-08-08
Men's 200m,ATH,2,Silver,Kenneth BEDNAREK,2024-08-08
Men's 200m,ATH,3,Bronze,Noah LYLES,2024-08-08
Men's 20km Race Walk,ATH,1,Gold,Brian Daniel PINTADO,2024-08-01
Men's 20km Race Walk,ATH,2,Silver,Caio BONFIM,2024-08-01
Men's 20km Race Walk,ATH,3,Bronze,Alvaro MARTIN,2024-08-01
Men's 3000m Steeplechase,ATH,1,Gold,Soufiane EL BAKKALI,2024-08-07
Men's 3000m Steeplechase,ATH,2,Silver,Kenneth ROOKS,2024-08-07
Men's 3000m Steeplechase,ATH,3,Bronze,Abraham KIBIWOT,2024-08-07
Men's 400m,ATH,1,Gold,Quincy HALL,2024-08-07
Men's 400m,ATH,2,Silver,Matthew HUDSON-SMITH,2024-08-07
Men's 400m,ATH,3,Bronze,Muzala SAMUKONGA,2024-08-07
Men's 400m Hurdles,ATH,1,Gold,Rai BENJAMIN,2024-08-09
Men's 400m Hurdles,ATH,2,Silver,Karsten WARHOLM,2024-08-09
Men's 400m Hurdles,ATH,3,Bronze,Alison dos SANTOS,2024-08-09
Men's 5000m,ATH,1,Gold,Jakob INGEBRIGTSEN,2024-08-10
Men's 5000m,ATH,2,Silver,Ronald KWEMOI,2024-08-10
Men's 5000m,ATH,3,Bronze,Grant FISHER,2024-08-10
Men's 800m,ATH,1,Gold,Emmanuel WANYONYI,2024-08-10
Men's 800m,ATH,2,Silver,Marco AROP,2024-08-10
Men's 800m,ATH,3,Bronze,Djamel SEDJATI,2024-08-10
