Venue_Code,venue
AQC,Aquatics Centre
BCY,Bercy Arena
BOR,Bordeaux Stadium
CDM,Champ de Mars Arena
VER,Château de Versailles
CTX,Chateauroux Shooting Centre
EIF,Eiffel Tower Stadium
ELA,Elancourt Hill
STE,Geoffroy-Guichard Stadium
GRP,Grand Palais
INV,Invalides
NAN,La Beaujoire Stadium
LC,La Concorde
LBO,Le Bourget Sport Climbing Venue
LGN,Le Golf National
LYO,Lyon Stadium
MAM,Marseille Marina
MRS,Marseille Stadium
NIC,Nice Stadium
NPA,North Paris Arena
PDP,Parc des Princes
DEF,Paris La Defense Arena
LIL,Pierre Mauroy Stadium
ALX,Pont Alexandre III
CPL,Porte de La Chapelle Arena
RGA,Stade Roland-Garros
VE2,Saint-Quentin-en-Yvelines BMX Stadium
VE1,Saint-Quentin-en-Yvelines Velodrome
SP,South Paris Arena
STA,Stade de France
TAH,"Teahupo'o, Tahiti"
TRO,Trocadéro
VN,Vaires-sur-Marne Nautical Stadium
HO,Yves-du-Manoir Stadium
